GeneID	TranscriptID	Length	D21_V_1	D21_IFN_1	D21_V_2	D21_IFN_2	D21_V_3	D21_IFN_3
ERCC-00002	DQ459430	1061	274895	310070	338941	319945	224632	304592
ERCC-00003	DQ516784	1023	19636	23099	25111	3883	16106	21587
ERCC-00004	DQ516752	523	67338	80546	84636	36315	54069	73629
ERCC-00009	DQ668364	984	9171	10620	11229	10056	7321	10037
ERCC-00012	DQ883670	994	1	5	2	0	2	5
ERCC-00013	EF011062	808	9	15	19	27	12	16
ERCC-00014	DQ875385	1957	105	110	111	155	126	92
ERCC-00016	DQ883664	844	2	3	1	0	3	1
ERCC-00017	DQ459420	1136	2	5	1	3	1	4
ERCC-00019	DQ883651	644	397	466	518	433	303	465
ERCC-00022	DQ855004	751	3935	4728	4981	4772	3290	4425
ERCC-00024	DQ854993	536	4	2	3	0	3	3
ERCC-00025	DQ883689	1994	1310	1531	1648	1402	1103	1448
ERCC-00028	DQ459419	1130	64	115	98	118	66	98
ERCC-00031	DQ459431	1138	41	54	35	45	15	49
ERCC-00033	DQ516796	2022	30	31	36	8	24	37
ERCC-00034	DQ855001	1019	287	282	332	285	232	309
ERCC-00035	DQ459413	1130	1689	1837	2043	1734	1265	1751
ERCC-00039	DQ883656	740	81	79	105	96	70	107
ERCC-00040	DQ883661	744	16	13	20	6	21	15
ERCC-00041	EF011069	1122	5	8	8	6	2	2
ERCC-00042	DQ516783	1023	8467	9585	10512	4551	6862	9180
ERCC-00043	DQ516787	1023	9102	10545	11285	1572	6799	9784
ERCC-00044	DQ459424	1156	1113	1181	1629	1360	963	1304
ERCC-00046	DQ516748	522	29387	35417	35226	3570	22179	31559
ERCC-00048	DQ883671	992	3	2	0	0	3	2
ERCC-00051	DQ516740	274	123	178	178	35	82	138
ERCC-00053	DQ516785	1023	307	302	312	38	182	294
ERCC-00054	DQ516731	274	99	107	109	72	69	87
ERCC-00057	DQ668366	1021	1	0	0	0	0	0
ERCC-00058	DQ459418	1136	38	53	52	51	25	51
ERCC-00059	DQ668356	525	118	172	146	199	91	140
ERCC-00060	DQ516763	523	4942	5708	6138	806	3636	5190
ERCC-00061	DQ459426	1136	1	0	1	1	0	3
ERCC-00062	DQ516786	1023	937	978	1161	226	695	951
ERCC-00067	DQ883653	644	38	34	35	36	35	36
ERCC-00069	DQ459421	1137	46	61	41	26	46	43
ERCC-00071	DQ883654	642	1013	1085	1154	1085	763	1025
ERCC-00073	DQ668358	603	12	19	17	9	18	12
ERCC-00074	DQ516754	522	181900	220500	233485	42831	138772	195440
ERCC-00075	DQ516778	1023	0	1	1	2	1	1
ERCC-00076	DQ883650	642	2868	3261	3345	3613	2307	3266
ERCC-00077	DQ516742	273	36	25	52	96	16	38
ERCC-00078	DQ883673	993	903	955	1050	906	639	920
ERCC-00079	DQ883652	644	867	1086	1145	1023	718	982
ERCC-00081	DQ854991	534	5	7	3	8	3	2
ERCC-00083	DQ516780	1022	0	3	6	0	0	0
ERCC-00084	DQ883682	994	538	688	661	615	506	677
ERCC-00085	DQ883669	844	141	146	152	98	81	132
ERCC-00086	DQ516791	1020	2	3	1	0	9	2
ERCC-00092	DQ459425	1124	6417	6904	7697	7137	5009	6872
ERCC-00095	DQ516759	521	1379	1535	1777	907	1210	1575
ERCC-00096	DQ459429	1107	303647	336191	386040	328946	256548	335492
ERCC-00097	DQ516758	523	1	4	6	1	3	5
ERCC-00098	DQ459415	1143	1	2	0	0	2	4
ERCC-00099	DQ875387	1350	335	355	388	297	279	342
ERCC-00104	DQ516815	2022	5	6	5	0	1	1
ERCC-00108	DQ668365	1022	15752	17669	19068	15666	12624	17416
ERCC-00109	DQ854998	536	15	12	4	4	7	2
ERCC-00111	DQ883685	994	11900	13491	15163	13327	9912	13228
ERCC-00112	DQ459422	1136	1007	1090	1358	948	870	1053
ERCC-00113	DQ883663	840	74611	86039	88546	78792	56743	79708
ERCC-00116	DQ668367	1991	1687	2004	2196	1828	1459	1940
ERCC-00117	DQ459412	1136	0	1	0	0	0	0
ERCC-00120	DQ854992	536	16	14	10	5	5	9
ERCC-00123	DQ516782	1022	4	10	21	4	3	4
ERCC-00126	DQ459427	1118	64	65	66	49	61	72
ERCC-00130	EF011072	1059	502618	576440	642799	530051	412862	565200
ERCC-00131	DQ855003	771	2184	2493	2720	2738	1763	2420
ERCC-00134	DQ516739	274	2	10	2	0	0	11
ERCC-00136	EF011063	1033	17217	19584	23464	15989	14533	19680
ERCC-00137	DQ855000	537	9	11	6	12	6	14
ERCC-00138	DQ516777	1024	4	2	7	1	7	3
ERCC-00142	DQ883646	493	2	3	4	1	1	5
ERCC-00143	DQ668362	784	113	144	168	75	91	136
ERCC-00144	DQ854995	538	316	361	402	350	253	364
ERCC-00145	DQ875386	1042	12255	14079	14999	12669	9789	13259
ERCC-00147	DQ516790	1023	17	21	29	7	10	25
ERCC-00148	DQ883642	494	143	141	151	144	111	119
ERCC-00150	DQ883659	743	14	21	31	16	34	23
ERCC-00154	DQ854997	537	100	152	179	94	78	140
ERCC-00156	DQ883643	494	0	2	5	3	7	3
ERCC-00157	DQ839618	1019	173	221	211	175	162	156
ERCC-00158	DQ516795	1027	15	13	20	7	11	15
ERCC-00160	DQ883658	743	325	278	360	245	230	286
ERCC-00162	DQ516750	523	856	936	1020	179	711	891
ERCC-00163	DQ668359	543	182	206	227	175	123	179
ERCC-00164	DQ516779	1022	12	9	14	2	2	5
ERCC-00165	DQ668363	872	722	809	803	653	608	788
ERCC-00168	DQ516776	1024	6	10	16	3	9	6
ERCC-00170	DQ516773	1023	226	211	252	114	186	239
ERCC-00171	DQ854994	505	46369	53070	57433	56389	37131	49760
C1orf141	NM_001276351	2186	1	0	0	0	1	0
C1orf141	NR_075077	2355	1	0	0	0	1	0
PKP1	NM_000299	5447	0	3	0	0	0	0
PKP1	NM_001005337	5326	0	3	0	0	0	0
C1orf141	NM_001276352	2212	1	0	0	0	1	0
CSMD2	NM_001281956	13698	4	0	0	0	2	0
RERE	NM_012102	8194	11652	22982	13784	14740	10147	14607
RERE	NM_001042682	6453	10438	21180	12193	13638	9039	13445
RERE	NM_001042681	8009	11639	22977	13775	14740	10141	14600
CSMD2	NM_052896	13118	3	0	0	0	2	0
HIVEP3	NR_038261	1716	205	394	328	188	212	264
GLMN	NM_001319683	1990	1417	2196	1709	289	1146	1295
SLC44A5	NM_001320285	4054	4	1	2	0	0	0
SLC44A5	NM_001130058	3896	4	1	2	0	0	0
TTLL7	NM_024686	7980	26	41	27	39	12	25
SLC44A5	NM_001320287	3987	4	1	2	0	0	0
GLMN	NM_053274	2006	1536	2444	1919	376	1304	1454
GLMN	NR_135089	1947	1366	2144	1667	301	1121	1269
SLC44A5	NM_152697	4436	3	0	2	0	0	0
SLC44A5	NM_001320283	4551	3	1	2	0	0	0
TTLL7	NM_001350214	8005	26	41	27	39	12	25
MAN1A2	NM_006699	8574	5233	8727	7290	3435	4555	5217
TTLL7	NM_001350215	7779	26	41	27	27	12	25
COP1	NM_001001740	2717	4469	6397	5200	2686	3474	3965
COP1	NM_001286644	2592	4293	6172	5034	2554	3365	3862
LINC01032	NR_126003	435	5	7	7	0	4	3
ANXA9	NM_003568	1550	12	19	14	1	11	9
C1orf21	NM_030806	10293	1156	2051	1534	1044	860	1222
COP1	NM_022457	2826	5221	7490	6148	3354	4121	4650
MPZL1	NM_003953	4978	11446	15641	13015	8076	9884	9859
MPZL1	NM_001146191	4528	9761	13392	11087	6574	8546	8464
MPZL1	NM_024569	4875	11291	15400	12844	7948	9768	9720
HSD11B1-AS1	NR_134509	456	10	23	8	6	8	6
HSD11B1-AS1	NR_134510	426	9	15	6	3	4	5
HSD11B1	NM_005525	1383	6	5	0	3	3	1
SDCCAG8	NM_001350248	5428	1795	2816	2055	1522	1420	1800
SDCCAG8	NM_001350249	5262	1769	2764	2027	1492	1394	1773
SDCCAG8	NM_001350251	6176	1896	2967	2180	1585	1480	1886
HSD11B1	NM_001206741	1462	5	5	0	3	3	1
SDCCAG8	NM_001350246	5654	1788	2788	2045	1500	1400	1799
SDCCAG8	NM_001350247	5430	1764	2757	2025	1487	1384	1782
SDCCAG8	NM_006642	5162	1743	2742	1998	1487	1377	1756
HSD11B1	NM_181755	1440	5	4	0	3	3	1
CAMTA1	NM_001349609	7965	881	1345	995	671	771	961
PRDM16	NM_199454	8641	1	0	0	6	1	0
PRKCZ	NM_001350803	2327	85	101	67	45	58	51
PRKCZ	NM_001350804	2536	87	102	69	45	59	51
PRKCZ	NM_001350806	2500	85	101	67	42	55	51
PRKCZ	NM_001350805	2322	85	101	67	42	55	51
AGRN	NM_001305275	7392	5057	7856	8028	4817	4009	4205
PRKCZ	NM_001242874	2125	85	101	67	42	55	51
PRKCZ	NM_001033581	2303	85	101	67	42	55	51
ACOT7	NM_181864	1570	12151	18731	12753	10462	9882	12058
CAMTA1	NM_001349612	7926	205	309	223	96	134	194
AGRN	NM_001364727	7530	4883	7573	7783	4584	3848	4056
PRKCZ	NM_002744	2385	97	126	89	69	73	64
CAMTA1	NM_001349610	7990	879	1345	995	671	769	960
PRDM16	NM_022114	8698	1	0	0	6	1	0
CAMTA1	NM_015215	8314	883	1352	999	671	776	964
CAMTA1	NM_001349608	8244	207	316	227	96	139	197
PRKCZ	NR_146911	2386	87	104	67	42	55	51
ACOT7	NM_007274	1805	14584	22466	15234	12585	12053	14535
ACOT7	NM_181865	1440	12150	18730	12752	10462	9882	12058
ACOT7	NM_181866	1399	12176	18790	12820	10521	9923	12097
AGRN	NM_198576	7324	5041	7826	8008	4810	3987	4182
KAZN	NM_015209	3905	525	687	582	484	459	465
PLEKHM2	NM_015164	4134	15268	24038	16336	14015	12144	14708
DISP3	NM_020780	5265	50	65	61	18	25	42
DHRS3	NM_004753	2201	71	106	97	84	52	37
PEX14	NM_004565	1922	4111	6381	4448	3863	3420	4041
DHRS3	NM_001319225	1374	43	75	54	60	39	27
KAZN	NM_201628	6049	226	314	278	221	213	240
DHRS3	NM_001324370	1549	43	75	54	58	41	27
KAZN	NM_001370230	3737	463	595	505	442	408	394
ALDH4A1	NM_001319218	3230	4249	6335	4775	3414	3645	4103
ALDH4A1	NM_003748	3139	4598	6800	5104	3700	3971	4387
KDM1A	NM_001009999	3085	26086	38004	28185	19893	20671	23090
PLA2G2E	NM_014589	785	0	0	0	0	0	0
EIF4G3	NM_001198801	6524	14930	23892	17984	13267	13135	15177
EIF4G3	NM_001198802	6434	14739	23596	17787	13016	12972	14965
KDM1A	NM_001363654	3031	24993	36409	27042	19060	19804	22107
KDM1A	NM_015013	3013	24964	36356	27003	19045	19784	22080
ALDH4A1	NM_170726	2126	2797	4197	3079	2061	2390	2699
EIF4G3	NM_001198803	2090	4247	6862	5053	4600	3893	4277
ALDH4A1	NM_001161504	3243	4338	6429	4830	3508	3776	4164
EIF4G3	NM_003760	6041	14071	22496	17073	12144	12228	14189
ACTL8	NM_030812	1841	13	8	1	5	7	9
WDTC1	NM_015023	4703	10526	14712	12031	8825	8622	9774
WDTC1	NM_001276252	4706	10854	15211	12462	9173	8922	10088
TRIT1	NM_001312691	2059	2650	3791	3217	2048	2037	2392
TRIT1	NM_001312692	1891	2228	3307	2774	1685	1743	2038
TRIT1	NR_132401	2133	2786	4040	3408	2119	2152	2497
TRIT1	NR_132402	1991	2562	3727	3156	2106	1988	2306
TRIT1	NR_132403	1987	2424	3533	2978	1878	1861	2159
TRIT1	NR_132404	1987	2356	3466	2909	1862	1828	2140
TRIT1	NR_132405	1983	2272	3323	2791	1732	1745	2020
TRIT1	NR_132406	1874	2150	3149	2634	1614	1639	1901
TRIT1	NR_132407	1751	2212	3223	2737	1804	1725	2029
TRIT1	NR_132408	1747	2074	3030	2559	1580	1598	1883
TRIT1	NR_132409	1608	2007	2984	2512	1530	1561	1842
TRIT1	NR_132410	1634	1803	2648	2217	1316	1378	1625
TRIT1	NR_132412	1495	1741	2608	2178	1278	1348	1588
TRIT1	NR_132413	1305	1593	2373	1958	1116	1205	1445
TRIT1	NR_132414	1077	1113	1624	1365	643	795	1004
TRIT1	NR_132415	2224	2971	4303	3651	2382	2330	2693
TRIT1	NM_017646	5051	2961	4271	3631	2375	2317	2679
EPHA10	NM_001099439	5477	21	32	26	11	13	15
LOC101929626	NR_125987	358	22	9	10	10	13	8
AGBL4	NM_032785	2989	6	2	1	0	1	0
PIK3R3	NM_001328648	4878	6977	10552	8565	4678	5536	6341
ZSWIM5	NM_020883	5868	28	48	41	28	24	46
SLC5A9	NM_001011547	3162	0	0	1	0	0	0
SLC5A9	NM_001135181	3237	0	0	1	0	0	0
AGBL4	NM_001323573	2998	6	2	1	0	1	0
AGBL4	NM_001323574	3025	6	2	1	0	1	0
LOC110117498-PIK3R3	NM_001303427	5074	6977	10552	8565	4678	5536	6341
AGBL4	NR_136623	2961	6	2	1	0	1	0
PDZK1IP1	NM_005764	838	2	0	0	0	0	0
AGBL4	NM_001323575	2962	6	2	1	0	1	0
TUT4	NM_015269	5847	5196	7679	6550	3856	4434	4555
EPS15	NM_001981	5163	19621	29611	24040	13975	16008	17901
EPS15	NM_001159969	4325	15479	23386	19039	10462	12581	14156
DAB1	NM_021080	5672	10	10	5	3	4	10
DAB1	NM_001353980	2256	5	3	1	0	2	3
TUT4	NM_001009881	5852	5305	7816	6637	3925	4521	4633
LOC101926964	NR_110628	2344	0	0	0	0	0	0
ROR1	NM_001083592	2294	1	1	2	0	0	0
ROR1	NM_005012	5856	1	7	6	0	0	0
JAK1	NM_001321852	5018	13165	19350	16694	9419	10777	11636
PDE4B	NM_001297441	3957	1137	2446	1663	1216	786	1084
PDE4B	NM_001037341	4303	1137	2446	1663	1216	786	1084
PDE4B	NM_002600	4531	1136	2446	1662	1216	785	1084
JAK1	NM_001321854	5193	13165	19350	16694	9419	10777	11636
PDE4B	NM_001297440	4064	1137	2446	1663	1216	786	1084
PATJ	NM_176877	8531	481	818	735	497	431	530
JAK1	NM_001321853	5277	13169	19354	16701	9424	10778	11639
PATJ	NM_001350145	8655	485	821	741	511	432	533
PDE4B	NM_001037340	4358	1137	2446	1663	1216	786	1084
GNG12-AS1	NR_040077	2247	0	0	0	0	0	1
FPGT-TNNI3K	NM_001199327	2782	172	254	205	83	159	185
FPGT-TNNI3K	NM_001112808	3328	172	255	205	83	159	185
TNNI3K	NM_015978	3017	14	19	25	8	15	21
WLS	NM_024911	2716	0	0	3	0	0	0
WLS	NM_001193334	2468	0	0	2	0	0	0
WLS	NM_001002292	2052	0	0	1	0	0	0
ADGRL2	NM_001366004	7989	20	30	36	24	29	29
ST6GALNAC3	NM_001160011	1106	18	21	13	12	15	12
ST6GALNAC3	NM_001349107	6728	32	59	35	15	37	41
ST6GALNAC3	NM_152996	6836	36	66	38	15	43	44
ADGRL2	NM_001366003	7934	20	30	36	24	29	29
ZZZ3	NM_001308237	4948	3216	4909	3873	2084	2651	3025
ST6GALNAC3	NM_001349110	1101	18	20	11	12	15	12
ST6GALNAC3	NM_001349105	6533	24	53	31	8	34	36
ST6GALNAC3	NM_001349106	7075	38	68	38	15	44	44
ST6GALNAC3	NM_001349108	6641	28	60	34	8	40	39
ZZZ3	NM_015534	6412	5223	8115	6403	3653	4312	5077
ST6GALNAC3	NR_146056	6935	36	66	38	15	43	45
ADGRL2	NM_001297704	7180	20	29	33	24	29	29
ADGRL2	NM_001366008	7663	20	29	36	24	29	29
IFI44L	NM_006820	5829	4494	13907	8709	7898	6687	12328
ST6GALNAC3	NM_001349109	3933	15	19	9	12	15	11
ST6GALNAC3	NM_001349111	6943	37	66	38	15	43	44
COL24A1	NR_146343	6505	1461	2521	2097	1486	1315	1440
COL24A1	NR_146344	6506	1332	2291	1903	1283	1186	1302
COL24A1	NR_146345	6619	1494	2531	2097	1510	1316	1447
COL24A1	NR_146342	6955	1445	2501	2061	1477	1304	1444
COL24A1	NM_001349955	6529	1551	2644	2191	1574	1378	1511
MCOLN2	NM_001330647	3143	11047	21913	14656	11720	10180	13905
HS2ST1	NM_001134492	1598	1994	2960	2396	1177	1688	1828
COL24A1	NR_146341	6848	1549	2644	2191	1574	1378	1511
COL24A1	NR_146340	6607	1381	2358	1949	1382	1240	1363
COL24A1	NM_152890	6834	1551	2644	2191	1574	1378	1511
MCOLN2	NM_153259	3044	10881	21587	14412	11505	10024	13669
HS2ST1	NM_012262	6759	7252	10931	8741	3379	5775	6167
CCDC18-AS1	NR_034089	4033	1154	1884	1452	944	1043	1083
MIR548N	NR_031666	150	0	3	0	0	1	2
DPYD	NM_000110	4447	1095	1690	1372	793	947	1111
CEPT1	NR_138483	2288	7129	10104	10162	3688	5806	5821
LINC01397	NR_126382	579	0	0	0	0	0	0
NGF-AS1	NR_157569	2610	0	0	0	0	0	0
CEPT1	NM_006090	2203	7105	10042	10113	3669	5772	5794
ATP1A1	NM_000701	3670	123603	180983	147713	104572	103709	111899
CEPT1	NM_001330743	2184	6924	9787	9871	3480	5584	5631
CEPT1	NR_138484	2348	7259	10369	10371	3752	5930	5931
CEPT1	NR_138485	2526	7158	10215	10233	3610	5818	5801
ATP1A1	NM_001160233	3767	115321	168736	137881	96528	95753	103410
ATP1A1	NM_001160234	3576	115288	168685	137840	96500	95720	103364
CEPT1	NM_001007794	2497	7026	9920	10020	3582	5677	5683
LOC100996724	NR_144516	9098	219	365	277	186	203	222
LOC100996724	NR_144517	8878	200	333	244	173	183	208
PDE4DIP	NM_001002812	4835	923	1194	1002	662	705	844
SRGAP2-AS1	NR_104189	2504	0	0	1	0	0	0
HYDIN2	NR_103556	10510	0	0	0	0	0	3
PDE4DIP	NM_001350523	8084	946	1226	1022	699	733	864
RNF115	NM_014455	9135	7248	13044	8694	7579	5882	8245
PDE4DIP	NM_001350521	8381	949	1228	1024	708	736	863
OTUD7B	NM_020205	8922	5285	7750	6172	3503	4180	4592
PDE4DIP	NM_001198834	8321	949	1228	1023	708	737	865
PDE4DIP	NM_001002810	1260	7	5	4	0	5	5
PDE4DIP	NM_001350522	8354	954	1233	1029	708	737	866
PDE4DIP	NM_014644	8377	953	1232	1026	708	739	869
PDE4DIP	NM_022359	1693	7	5	5	0	4	5
PDE4DIP	NM_001195261	1055	7	5	4	0	4	5
PDE4DIP	NM_001195260	957	7	5	4	0	4	5
PDE4DIP	NM_001198832	8143	954	1232	1029	699	737	869
MUC1	NM_001044392	857	31	166	49	50	26	90
PMF1	NM_001199653	1061	5424	7410	5574	4513	3908	4840
PMF1	NM_001199654	1128	5650	8005	5839	4237	4273	5105
PMF1-BGLAP	NM_001199664	794	967	1384	1023	716	647	830
PMF1	NM_007221	1122	7432	10472	7829	6050	5573	6719
NUP210L	NM_207308	5882	1	5	9	2	1	1
MUC1	NM_001204297	911	31	169	49	50	26	90
MUC1	NM_001044391	830	31	148	44	44	18	82
MUC1	NM_001044390	989	37	203	66	65	23	99
MUC1	NM_001204286	1838	120	707	203	480	102	323
MUC1	NM_001204287	1226	46	296	93	122	44	137
MUC1	NM_001204288	1140	41	241	78	99	37	117
PMF1-BGLAP	NM_001199661	940	2275	3119	2396	2025	1508	2010
MUC1	NM_001204285	1805	116	653	182	461	89	296
MUC1	NM_001204293	1077	38	200	59	66	26	96
MUC1	NM_001204294	1070	40	229	78	86	26	111
MUC1	NM_001204292	1103	44	279	93	96	38	132
MUC1	NM_001204291	1109	44	284	99	116	43	137
MUC1	NM_001204289	1094	40	248	87	109	39	124
MUC1	NM_001204296	1016	37	221	71	71	31	107
MUC1	NM_001204295	953	40	238	76	75	35	118
MUC1	NM_002456	1199	46	278	88	116	36	129
MUC1	NM_001044393	957	36	191	62	65	23	96
PMF1-BGLAP	NM_001199662	1001	3787	5492	4152	3180	2734	3429
PMF1-BGLAP	NM_001199663	805	2130	2919	2229	1920	1421	1895
